name;t1;t2;rating
Ærgerligt ærgerligt;00:38;00:56;4
Total spade;04:27;04:37;3
Matematik er fantastisk;07:30;07:36;8
Etter og nuller;10:38;10:48;5
Lave rav i den;14:31;14:38;6
Det får I kvalme af;16:08;16:20;5
Et langt eksempel;16:33;16:46;8
Det har jeg lige gjort;18:28;18:38;7
Alle dyrene i indhegningen;24:53;25:02;5
I sidste time;25:33;25:47;5
Kørt over af en tankvogn;28:52;28:59;8
Gisp - men vi har koordinater;30:22;30:53;6
Store Fede Tryllestav anno 2019;32:32;32:50;5
Et eller andet tegn i mellem;33:26;33:36;8
Basen Georg;36:46;37:01;5
Jeg skal ikke lave jeres hjemmeopgaver;43:40;44:02;6
