name,t1,t2,rating
Så ruller den vaklende videre,00:15,00:27,4
Påskebryg og juleøl,03:07,05:35,8
Hundemad og havregryn,10:47,11:14,6
Jul og vilde gaver,17:06,17:19,7
Det er jo næsten for pænt,19:49,19:56,6
Fordi det er tirsdag,22:40,23:15,6
Hvis det havde været en NxN matrix,23:19,23:30,6
Kunne man forestille sig noget pænere?,23:48,23:57,5
Jeg nulrer mig frem,31:40,31:45,4
Mere ædru end jeg er ,32:54,33:41,5
Av for satan - knækket kridt,35:17,35:26,5
Store teoretiske ting og julestjerner,37:35,37:57,7
Fuck og fingernem,41:35,42:20,5
