n	lecture	link
1	Mere om funktioner af to variable	https://video.dtu.dk/media/Uge+1%2C+Lille+DagA+Mere+om+funktioner+af+to+variable/0_0c7wcwij/218754
2	Taylors formler del 1	https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Taylors+formler+Part+1/0_o612v5nk/218754
3	Taylors formler del 2	https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Taylors+formler+Part+2/0_dtowqqoh/218754
4	Ekstremumsundersøgelser del 1	https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Ekstremumsunders%C3%B8gelser+part+1/0_8jn08o8f/218754
5	Ekstremumsundersøgelser del 2	https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Ekstremumsunders%C3%B8gelser+Part+2/0_0qy5lhqw/218754
6	Riemannintegralet og dets brug på kurver del 1	https://video.dtu.dk/media/Uge+4A+Store+DagA+Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Part+1/0_m0nfqq6o/218754
7	Riemannintegralet og dets brug på kurver del 2	https://video.dtu.dk/media/Uge+4A+Store+DagA+Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Part+2/0_obscxwho/218754
8	Integrationsteknik	https://video.dtu.dk/media/Uge+4%2C+Lille+DagA+Integrationsteknik/0_1ain8y8s/218754
9	Særlige flader i rum	https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+S%C3%A6rlige+flader+i+rummet/0_me4sb5m4/218754
10	Rumlige områder og rumintegraler del 1	https://video.dtu.dk/media/Uge+6%2C+Store+DagA+Rumlige+omr%C3%A5der+og+Rumintegraler+Part+1/0_luwkgf84/218754
11	Rumlige områder og rumintegraler del 2	https://video.dtu.dk/media/Uge+6%2C+Store+DagA+Rumlige+omr%C3%A5der+og+Rumintegraler+Part+2/0_01td9ke3/218754
12	Vektorfelter del 1	https://video.dtu.dk/media/Uge+7%2C+Store+DagA+Vektorfelter+Part+1/0_khtjk7pt/218754
13	Vektorfelter del 2	https://video.dtu.dk/media/Uge+7%2C+Store+DagA+Vektorfelter+Part+2/0_h26cxkcg/218754
14	Mere om gradientvektorfelter	https://video.dtu.dk/media/Uge+7%2C+Lille+DagA+Mere+om+gradientvektorfelter/0_29pyqdm4/218754
15	Flux og Gauss divergenssætning del 1	https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+Part+1/0_rq91jh5e/218754
16	Flux og Gauss divergenssætning del 2	https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+Part+2/0_fyuz7avc/218754
17	Repetition del 1	https://video.dtu.dk/media/Uge+12%2C+Lille+dagA+Repetition+Del+1/0_cskpvky9/218754
18	Repetition del 2	https://video.dtu.dk/media/Uge+12%2C+Lille+dagA+Repetition+Del+2/0_afqcuyqe/218754
19	Stokes sætning og potentialer del 1	https://video.dtu.dk/media/Uge+13%2C+Store+DagA+Stokes%E2%80%99+s%C3%A6tning+og+potentialer+Part+1/0_s7iu5v0m/218754
